date,start_time,end_time,subject,subject_type,teacher,group,classroom,building
2025-04-06,08:00,09:20,Программирование C/C++,практическое занятие,Климов А.,25КНТ-1,216,БП
2025-04-06,09:30,10:50,Программирование C/C++,практическое занятие,Климов А.,25КНТ-1,216,БП
2025-04-06,11:00,12:20,Математический анализ,лекция,Иванов И.И.,25КНТ-1,101,БП
2025-04-06,12:30,13:50,Линейная алгебра,семинар,Петров П.П.,25КНТ-1,102,БП
2025-04-07,08:00,09:20,Физика,лекция,Сидоров С.С.,25ФИЗ-1,301,Р
2025-04-07,09:30,10:50,Физика,практическое занятие,Сидоров С.С.,25ФИЗ-1,301,Р
2025-04-07,11:00,12:20,Английский язык,практическое занятие,Смирнова А.В.,25КНТ-1,205,БП
2025-04-07,14:00,15:20,Программная инженерия,лекция,Козлов К.К.,25КНТ-1,210,БП
2025-04-07,15:30,16:50,Базы данных,практическое занятие,Морозов М.М.,25КНТ-2,102,БП
2025-04-08,08:00,09:20,Дискретная математика,лекция,Николаев Н.Н.,25КНТ-1,210,БП
2025-04-08,09:30,10:50,Дискретная математика,семинар,Волков В.В.,25КНТ-1,216,БП
2025-04-08,11:00,12:20,Операционные системы,практическое занятие,Орлов О.О.,25КНТ-2,101,БП
2025-04-08,12:30,13:50,Сети и телекоммуникации,лекция,Лебедев Л.Л.,25КНТ-2,210,БП
2025-04-08,14:00,15:20,Иностранный язык,практическое занятие,Сомова С.А.,25ФИЗ-1,105,Р
2025-04-09,08:00,09:20,Программирование C/C++,лекция,Климов А.,25КНТ-1,210,БП
2025-04-09,09:30,10:50,Алгоритмы и структуры данных,лекция,Попов П.А.,25КНТ-1,101,БП
2025-04-09,11:00,12:20,Алгоритмы и структуры данных,практическое занятие,Попов П.А.,25КНТ-2,102,БП
2025-04-10,09:00,10:20,Веб-технологии,практическое занятие,Кузнецов К.А.,25КНТ-1,online,online
2025-04-20,08:00,09:20,Программирование C/C++,практическое занятие,Климов А.,25КНТ-1,216,БП
2025-04-20,09:30,10:50,Программирование C/C++,практическое занятие,Климов А.,25КНТ-1,216,БП
