external_id,source,course,group,flow,module,week_type,date,weekday,start_time,end_time,building_code,building_name,room_name,room_id,is_online,subject,lesson_type,teacher,status,comment
hse-demo-001,manual_template,1,25КНТ-1,I,4,upper,2026-05-18,понедельник,09:30,10:50,Б,Корпус Б,101,10101,0,Программирование C/C++,практика,Климов А.,scheduled,Занятие блокирует аудиторию для бронирования
hse-demo-002,manual_template,1,25КНТ-1,I,4,upper,2026-05-18,понедельник,11:10,12:30,Б,Корпус Б,102,10102,0,Дискретная математика,семинар,Касьянов Н.Ю.,scheduled,
hse-demo-003,manual_template,1,25КНТ-2,I,4,upper,2026-05-18,понедельник,13:00,14:20,Б,Корпус Б,210,10210,0,Математический анализ,семинар,Чистякова С.А.,scheduled,
hse-demo-004,manual_template,1,25КНТ-3,II,4,upper,2026-05-18,понедельник,14:40,16:00,,,,1,История России,лекция,Тимиряев Д.О.,scheduled,Онлайн-занятие не блокирует аудиторию
hse-demo-005,manual_template,1,25КНТ-4,II,4,upper,2026-05-19,вторник,09:30,10:50,К,Корпус К,101,20101,0,Общая алгебра,лекция,Самылина Е.А.,scheduled,
hse-demo-006,manual_template,1,25КНТ-5,III,4,upper,2026-05-19,вторник,11:10,12:30,К,Корпус К,205,20205,0,Алгоритмы и структуры данных,семинар,Капранов С.Н.,scheduled,
hse-demo-007,manual_template,1,25КНТ-6,III,4,upper,2026-05-19,вторник,13:00,14:20,С,Корпус С,101,30101,0,Проектный семинар,семинар,Иванова М.А.,scheduled,
hse-demo-008,manual_template,2,24КНТ-1,I,4,lower,2026-05-25,понедельник,09:30,10:50,Б,Корпус Б,101,10101,0,Теория вероятностей и математическая статистика,лекция,Абрашкин А.А.,scheduled,Пример нижней недели
hse-demo-009,manual_template,2,24КНТ-2,I,4,lower,2026-05-25,понедельник,11:10,12:30,Б,Корпус Б,102,10102,0,Правовая грамотность,семинар,Киселева И.А.,scheduled,
hse-demo-010,manual_template,2,24КНТ-5,III,4,lower,2026-05-25,понедельник,13:00,14:20,К,Корпус К,101,20101,0,Теория вероятностей и математическая статистика,семинар,Колданов П.А.,scheduled,
hse-demo-011,manual_template,3,23КНТ-1,I,4,upper,2026-05-20,среда,09:30,10:50,Б,Корпус Б,210,10210,0,Теория организации,лекция,Михейкин В.Б.,scheduled,
hse-demo-012,manual_template,3,23КНТ-2,I,4,upper,2026-05-20,среда,11:10,12:30,К,Корпус К,205,20205,0,Теория организации,семинар,Михейкин В.Б.,scheduled,
hse-demo-013,manual_template,3,23КНТ-6,III,4,upper,2026-05-22,пятница,09:30,10:50,К,Корпус К,101,20101,0,Стохастические модели принятия решений,лекция,Кудрявцев Е.В.,scheduled,
hse-demo-014,manual_template,3,23КНТ-7,III,4,upper,2026-05-22,пятница,11:10,12:30,С,Корпус С,101,30101,0,Методы вычислений и оптимизация,семинар,Бобровский А.А.,scheduled,
hse-demo-015,manual_template,3,23КНТ-7,III,4,upper,2026-05-22,пятница,13:00,14:20,Б,Корпус Б,101,10101,0,Управление требованиями и проектирование,семинар,Воеводина К.Д.,scheduled,Пример занятия в той же аудитории в другой день
hse-demo-016,manual_template,1,25КНТ-1,I,4,upper,2026-05-26,вторник,09:30,10:50,Б,Корпус Б,101,10101,0,Дискретная математика,лекция,Малышев Д.С.,cancelled,Отмена занятия: строка нужна для истории/отображения, но не должна блокировать аудиторию
hse-demo-017,manual_template,1,25КНТ-1,I,4,upper,2026-05-26,вторник,11:10,12:30,Б,Корпус Б,102,10102,0,Дискретная математика,семинар,Касьянов Н.Ю.,scheduled,Перенос из аудитории 101 в 102
