date,start_time,end_time,subject,subject_type,teacher,group,classroom,building
2026-05-25,09:30,11:00,Математический анализ,лекция,Иванов И.И.,25КНТ-1,101,БП
2026-05-25,11:10,12:40,Программирование C/C++,семинар,Климов А.,25КНТ-1,216,БП
2026-05-25,13:00,14:30,Базы данных,лекция,Петров П.П.,25КНТ-2,301,Р
2026-05-25,15:00,16:30,Дискретная математика,семинар,Сидоров С.С.,25КНТ-1,102,БП
2026-05-26,09:30,11:00,Алгоритмы и структуры данных,лекция,Иванов И.И.,25КНТ-2,216,БП
2026-05-26,11:10,12:40,Операционные системы,лекция,Кузнецов К.К.,25КНТ-2,301,Р
2026-05-26,13:00,14:30,Английский язык,семинар,Smith J.,25КНТ-1,online,online
2026-05-26,15:00,16:30,Веб-программирование,практика,Климов А.,25КНТ-1,101,БП
2026-05-27,09:30,11:00,Линейная алгебра,лекция,Иванов И.И.,25КНТ-1,216,БП
2026-05-27,11:10,12:40,Компьютерные сети,лекция,Кузнецов К.К.,25КНТ-2,301,Р
2026-05-27,13:00,14:30,Программирование C/C++,практика,Климов А.,25КНТ-1,102,БП
